height,reach,sig_strikes_landed_pm,sig_strikes_accuracy,sig_strikes_absorbed_pm,sig_strikes_defended,takedown_avg_per15m,takedown_accuracy,takedown_defence,submission_avg_attempted_per15m,curr_weight,age,fighter_name
165.1,165.1,3.68,0.4,3.53,0.62,1.49,0.48,0.6,0.6,56.699,32.70636550308008,Rose Namajunas
180.34,185.42,5.59,0.52,5.27,0.44,4.72,0.36,0.8,1.4,70.30676,29.23750855578371,Benoit Saint Denis
175.26,177.8,2.47,0.39,4.4,0.54,1.53,0.4,0.56,1.3,70.30676,29.976728268309376,Thiago Moises
187.96,190.5,4.59,0.47,3.92,0.55,0.57,0.33,0.8,0.1,92.98636,35.48254620123203,Volkan Oezdemir
190.5,193.04,2.12,0.32,6.9,0.43,0.0,0.0,0.0,0.0,92.98636,32.50102669404517,Bogdan Guskov
182.88,185.42,2.62,0.46,1.49,0.75,1.06,0.6,0.81,0.7,65.77083999999999,27.750855578370977,William Gomis
175.26,175.26,2.27,0.38,4.22,0.4,0.0,0.0,0.0,0.0,65.77083999999999,30.135523613963038,Yanis Ghemmouri
172.72,175.26,6.75,0.53,2.34,0.78,0.0,0.0,0.0,0.0,65.77083999999999,29.38261464750171,Morgan Charriere
172.72,172.72,2.34,0.21,6.75,0.46,0.0,0.0,0.0,0.0,65.77083999999999,28.39151266255989,Manolo Zecchini
167.64,185.42,4.18,0.47,2.27,0.62,0.45,0.4,0.81,0.5,61.23492,32.930869267624914,Taylor Lapilus
167.64,172.72,3.2,0.36,5.6,0.48,2.0,0.18,0.0,0.0,61.23492,28.82135523613963,Caolan Loughran
177.8,187.96,6.32,0.46,6.88,0.51,2.25,0.45,1.0,0.2,77.11064,31.98904859685147,Ange Loosa
187.96,198.12,6.06,0.48,9.47,0.44,0.0,0.0,0.33,0.0,77.11064,29.508555783709788,Rhys McKee
170.18,170.18,2.67,0.51,1.2,0.57,0.0,0.0,0.37,0.0,61.23492,35.26899383983573,Nora Cornolle
172.72,177.8,4.71,0.52,3.36,0.5,1.0,0.33,0.64,0.3,61.23492,29.456536618754278,Joselyne Edwards
172.72,180.34,5.2,0.63,2.34,0.58,3.5,0.53,0.83,0.4,61.23492,27.613963039014372,Farid Basharat
165.1,170.18,5.48,0.62,2.75,0.48,0.85,0.25,0.63,0.8,61.23492,29.39356605065024,Kleydson Rodrigues
172.72,177.8,8.4,0.57,2.6,0.84,0.0,0.0,1.0,0.0,61.23492,27.540041067761805,Jacqueline Cavalcanti
172.72,182.88,4.55,0.31,7.4,0.45,0.0,0.0,0.6,0.0,61.23492,41.25941136208077,Zarah Fairn
180.34,175.26,7.17,0.47,4.75,0.59,0.27,0.53,0.84,0.3,65.77083999999999,33.275838466803556,Max Holloway
170.18,182.88,3.93,0.41,4.52,0.52,0.7,0.44,0.72,0.6,65.77083999999999,37.99315537303217,Chan Sung Jung
193.04,193.04,3.16,0.48,4.45,0.46,0.52,0.28,0.48,0.7,92.98636,36.63244353182751,Anthony Smith
195.58,200.66,3.42,0.4,3.91,0.45,1.29,0.35,0.47,1.5,92.98636,33.555099247091036,Ryan Spann
182.88,187.96,4.08,0.43,3.44,0.62,0.23,0.33,0.69,0.2,65.77083999999999,36.550308008213555,Giga Chikadze
177.8,185.42,4.16,0.5,2.93,0.63,0.56,0.68,0.64,0.7,65.77083999999999,36.73100616016427,Alex Caceres
170.18,172.72,4.23,0.54,1.78,0.7,4.23,0.85,1.0,2.8,61.23492,29.976728268309376,Rinya Nakamura
170.18,170.18,1.8,0.34,2.69,0.5,0.32,0.5,0.47,0.6,61.23492,32.91991786447639,Fernie Garcia
162.56,167.64,5.58,0.52,3.32,0.62,2.86,0.36,0.83,1.2,56.699,25.861738535249827,Erin Blanchfield
167.64,172.72,3.39,0.48,2.64,0.58,2.0,0.76,0.86,1.1,56.699,31.72621492128679,Taila Santos
190.5,190.5,1.83,0.4,0.55,0.76,0.0,0.0,0.84,0.0,108.86208,28.476386036960985,Junior Tafa
